,Links
81,https://citycenter.jo/pc-and-laptops/apple-ipad-pro-4th-generation-2020-8-cores-12-9-128gb-wifi-space-grey
82,https://citycenter.jo/computer-hardware-monitor-and-display/ch-gaming-monitors/dahua-lm27-e241b-27-ips-full-hd-up-to-240hz-0-5-ms-hdr-10-ultra-thin-99-srgb-350nits-adaptive-sync-w-display-port-hdmi-interface-black
83,https://citycenter.jo/gaming/gaming-peripherals/keyboard/wireless/microsoft-bluetooth-desktop-combo-slim-compact-bluetooth-keyboard-mouse-support-pcs-mac-arabic-english
84,https://citycenter.jo/computer-hardware-monitor-and-display/ch-gaming-monitors/lg-34uc79g-34-21-9-curved-ultrawide-ips-gaming-144hz
85,https://citycenter.jo/pc-and-laptops/pc-and-laptops-laptops/touch-screen-laptops/dell-latitude-7455-2024-power-your-workflow-with-ai-pc-new-snapdragon-x-elite-12-cores-ai-powered-w-big-battery-life-ips-2-5k-touch-screen-gray
86,https://citycenter.jo/computer-hardware/components-motherboard/msi-b650m-project-zero-wi-fi-6e-bluetootham5-amd-b650-ryzen-7000-ddr5-2x-m-2-matx-back-connect-design
87,https://citycenter.jo/gaming/gaming-gaming-chairs/arozzi-vernazza-supersoft-upholstery-material-has-a-unique-velvety-texture-that-is-fluid-repellant-breathable-memory-foam-lumbar-support-4d-armrest-brown
88,https://citycenter.jo/gaming/gaming-peripherals/mouse?page=8
89,https://citycenter.jo/computer-hardware-storage/synology-4tb-hat3300-plus-series-sata-iii-3-5-internal-nas-hdd
90,https://citycenter.jo/gaming/kingston-sdcs3-128gb-canvas-select-plus-microsdxc-card-up-to-150mb-s-a1-class-10-uhs-i-with-adapter
91,https://citycenter.jo/gaming/gaming-gaming-pcs/cc-power-5060ti-105-gaming-pc-new-8gen-amd-ryzen-7-8700f-8-cores-w-nvidia-rtx-5060-ti-16gb-ddr6-ddr5-memory-advanced-air-cooler
92,https://citycenter.jo/gaming/gaming-cpu-and-processor/processors-desktops/intel-new-13gen-core-i5-13400f-10-cores-up-to-4-6ghz-l2-l3-29-5mb-cache-box
93,https://citycenter.jo/computer-hardware-monitor-and-display/v2com-z2-15-6-portable-triple-monitor-for-laptops-ultra-thin-ips-narrow-border-screen-extender-compatible-with-mac-windows-chrome-perfect-for-multitasking-fits-most-laptops
94,https://citycenter.jo/computer-hardware-peripherals/peripherals-cable/mcdodo-ca-3310-series-240w-type-c-to-type-c-pd3-1-fast-charging-data-sync-cable-1-2m-black
95,https://citycenter.jo/computer-hardware/components-motherboard/msi-pro-b760-p-ii-ddr4-intel-13th-gen-motherboard-pcie-4-0-ddr4-2xm-2-pcie-4-0-mainboard
96,https://citycenter.jo/computer-hardware-storage/storage-usb-pendrive/kingston-32gb-data-traveler-locker-g3-personal-data-security
97,https://citycenter.jo/computer-hardware-peripherals/peripherals-mouse-pad/steelseries-qck-edge-63824-xl-stitched-edge-cloth-pad
98,https://citycenter.jo/computer-hardware/components-fan-and-heatsink/deepcool-ak400-digital-pro-cpu-cooler-tdp-220w-4-heat-pipes-professional-digital-display-heatsink-cpu-air-cooler-for-intel-amd
99,https://citycenter.jo/gaming/gaming-cpu-and-processor/amd-ryzen-5-3500-6-core-3-6-ghz-4-1-ghz-max-boost-tray
100,https://citycenter.jo/gaming/gaming-peripherals/keyboard/wired/redragon-k673-pro-75-wireless-gasket-rgb-gaming-keyboard-3-modes-81-keys-compact-mechanical-keyboard-hot-swap-socket-dedicated-knob-control-and-sound-absorbing-pads-linear-red-switch
101,https://citycenter.jo/gaming/gaming-gaming-pcs/custom-gaming-pcs?page=3
102,https://citycenter.jo/computer-hardware/components-motherboard/gigabyte-b650-gaming-x-ax-am5-atx-amd-b650-chipset-4x-ddr5-dimm-128gb-max-memory-bt-5-2-wi-fi-e6-connectivity-1x-pci-4-0-x16-1-x-hdmi-1x-dp
103,https://citycenter.jo/computer-hardware/components-case-and-chassis/full-tower-case/corsair-obsidian-series-750d-airflow-edition-full-tower
104,https://citycenter.jo/computer-hardware/components-memory-ram/ibm-4gb-ddr3-registered-ecc-pc3-10600-1333mhz-2rx4-server-memory
105,https://citycenter.jo/computer-hardware-peripherals/peripherals-cable/cable-hdmi/ugreen-high-speed-hdmi-cable-with-ethernet-gold-plated-supports-1080p-and-3d-for-blu-ray-player-3d-television-roku-boxee-xbox360-ps3-apple-tv-5m
106,https://citycenter.jo/computer-hardware-peripherals/peripherals-mouse-pad/logitech-g440-hard-gaming-mouse-pad-3mm-optimized-for-gaming-sensors-moderate-surface-friction-non-slip-mouse-mat-black
107,https://citycenter.jo/pc-and-laptops/tablet-accessories/dux-ducis-dk-series-keyboard-case-designed-for-samsung-tab-s9-fe-plus-12-4-detachable-touchpad-bluetooth-keyboard-charging-80h-working-time-tablet-leather-cover-arabic-english-layout-black
108,https://citycenter.jo/gaming/gaming-storage-drive/usb-flash-drives/lenovo-thinkplus-tpcu301-2-in-1-type-c-3-2-usb-3-2-1tb-flash-drive
109,https://citycenter.jo/gaming/gaming-power-supply/seasonic-focus-gx-series-750w-80-gold-full-modular
110,https://citycenter.jo/gaming/gaming-diy-water-cooling/fittings/ek-extender-g1-4-nickel
111,https://citycenter.jo/computer-hardware/computer-hardware-monitor-and-display/dell-pro-e2225hm-22-full-hd-100hz-refresh-rate-edge-led-backlight-technology-eye-comfort-technology-panel-mount-w-hdmi-vga-display-port-black
112,https://citycenter.jo/gaming/logitech-group-video-conferencing-system-motorized-pan-tilt-zoom-10x-hd-zoom-diagonal-fov-90-8-5-m-ir-range-full-hd-1080p-at-30fps-autofocus
113,https://citycenter.jo/peripherals-printer-and-scanner/hp-laserjet-pro-4103fdn-mono-multifunction-printer-fax-copy-scan-email-scan-to-email
114,https://citycenter.jo/gaming/dahua-lm24-a200y-24-full-hd-100hz-anti-blue-light-eye-protective-micro-bezel-design-w-hdmi-vga-interface-black
115,https://citycenter.jo/gaming/gaming-cases/tp-link-tapo-l900-5-led-strip-light-smart-led-light-strips-5m-wifi-app-control-rgb-multicolour-led-lights-works-with-alexa-google-home
116,https://citycenter.jo/gaming/gaming-cases/asus-tuf-gt502-plus-dual-chamber-design-independent-cooling-zones-for-the-cpu-gpu-w-pre-installed-4-argb-fans-white
117,https://citycenter.jo/computer-hardware/components-fan-and-heatsink/deepcool-ak400-digital-1850-rpm-pwm-cpu-air-cooler-4-heatpipes-chip-cooling-heatsink-w-w-argb-led-strip-digital-screen-displays
118,https://citycenter.jo/gaming/gaming-monitor/samsung-odyssey-g3-g30d-27-full-hd-180hz-1ms-hdr10-3-sided-border-less-adjustable-stand-amd-freesync-w-display-port-hdmi
119,https://citycenter.jo/computer-hardware-monitor-and-display/lcd-led-monitors/hp-e27q-g5-27-ips-2k-professional-4-way-adjustable-stand-99-srgb-350nits-hp-eye-ease-w-display-port-hdmi-usb-hub
120,https://citycenter.jo/computer-hardware-storage/ssds-solid-state-drive/internal-ssd/gigabyte-aorus-2tb-gen5-pci-express-5-0x4-nvme-2-0-m-2-2280-up-to-14-500-mb-s-sequential-read-up-to-12-700-mb-s-sequential-write
121,https://citycenter.jo/gaming/gaming-gaming-pcs/custom-gaming-pcs/cc-power-9060xt-108-gaming-pc-new-13gen-intel-core-i7-16-cores-w-amd-radeon-9060-xt-8gb-ddr6-advanced-air-cooler
122,https://citycenter.jo/pc-and-laptops/pc-and-laptops-laptops/lightweight-laptop/asus-vivobook-s-15-copilot-pc-2024-s5506ma-intel-core-ultra-7-h-serise-powerful-16-cores-w-big-battery-3k-120hz-oled-display-mist-blue
